[2025-06-28T03:21:28.406Z] INFO  [PID:1109499] ログファイルをローテーションしました: /var/www/autodialer/backend/logs/combined.log -> /var/www/autodialer/backend/logs/combined.log.1751080888405.bak {"level":"INFO"}
[2025-06-28T03:21:28.522Z] INFO  [PID:1109499] ✅ データベース接続確認完了: アクティブ発信者番号 4件 {"level":"INFO"}
[2025-06-28T03:21:31.296Z] INFO  [PID:1109499] キャンペーン統計取得: ID=165 {"level":"INFO"}
[2025-06-28T03:21:31.299Z] INFO  [PID:1109499] キャンペーン統計取得完了: ID=165, Progress=0% {"level":"INFO"}
[2025-06-28T03:21:36.236Z] INFO  [PID:1109499] キャンペーン統計取得: ID=165 {"level":"INFO"}
[2025-06-28T03:21:36.239Z] INFO  [PID:1109499] キャンペーン統計取得完了: ID=165, Progress=0% {"level":"INFO"}
[2025-06-28T03:21:41.231Z] INFO  [PID:1109499] キャンペーン統計取得: ID=165 {"level":"INFO"}
[2025-06-28T03:21:41.234Z] INFO  [PID:1109499] キャンペーン統計取得完了: ID=165, Progress=0% {"level":"INFO"}
[2025-06-28T03:21:46.237Z] INFO  [PID:1109499] キャンペーン統計取得: ID=165 {"level":"INFO"}
[2025-06-28T03:21:46.240Z] INFO  [PID:1109499] キャンペーン統計取得完了: ID=165, Progress=0% {"level":"INFO"}
[2025-06-28T03:21:51.232Z] INFO  [PID:1109499] キャンペーン統計取得: ID=165 {"level":"INFO"}
[2025-06-28T03:21:51.235Z] INFO  [PID:1109499] キャンペーン統計取得完了: ID=165, Progress=0% {"level":"INFO"}
[2025-06-28T03:21:56.235Z] INFO  [PID:1109499] キャンペーン統計取得: ID=165 {"level":"INFO"}
[2025-06-28T03:21:56.238Z] INFO  [PID:1109499] キャンペーン統計取得完了: ID=165, Progress=0% {"level":"INFO"}
[2025-06-28T03:22:01.235Z] INFO  [PID:1109499] キャンペーン統計取得: ID=165 {"level":"INFO"}
[2025-06-28T03:22:01.239Z] INFO  [PID:1109499] キャンペーン統計取得完了: ID=165, Progress=0% {"level":"INFO"}
